symbol,datetime,open,high,low,close,volume
RELIANCE,2026-01-01 13:37:00,1577,1577.5,1577,1577.4,3394
RELIANCE,2026-01-01 13:38:00,1577.2,1577.3,1576.3,1576.6,53810
RELIANCE,2026-01-01 13:39:00,1577,1577,1576.5,1576.5,2191
RELIANCE,2026-01-01 13:40:00,1576.5,1576.7,1576,1576,9163
RELIANCE,2026-01-01 13:41:00,1576,1576.6,1576,1576.1,2336
RELIANCE,2026-01-01 13:42:00,1576.3,1576.6,1576,1576.5,8228
RELIANCE,2026-01-01 13:43:00,1576.2,1576.5,1576.2,1576.5,3688
RELIANCE,2026-01-01 13:44:00,1576.2,1577.2,1576.1,1577.2,11067
RELIANCE,2026-01-01 13:45:00,1577.2,1577.7,1577.2,1577.6,1902
RELIANCE,2026-01-01 13:46:00,1577.6,1577.6,1577,1577.3,1723
RELIANCE,2026-01-01 13:47:00,1577.3,1577.5,1577.1,1577.5,4251
RELIANCE,2026-01-01 13:48:00,1577.4,1577.8,1577.4,1577.8,5925
RELIANCE,2026-01-01 13:49:00,1577.8,1578.4,1577.5,1578.4,12742
RELIANCE,2026-01-01 13:50:00,1578.4,1580.3,1578.3,1580,72080
RELIANCE,2026-01-01 13:51:00,1580,1580.4,1580,1580.2,24545
RELIANCE,2026-01-01 13:52:00,1580.5,1580.8,1580,1580.4,44059
RELIANCE,2026-01-01 13:53:00,1580.2,1581.4,1580,1580.8,45748
RELIANCE,2026-01-01 13:54:00,1580.8,1580.8,1580,1580.5,2976
RELIANCE,2026-01-01 13:55:00,1580,1580.9,1580,1580.6,8156
RELIANCE,2026-01-01 13:56:00,1580,1580.4,1580,1580.3,11141
RELIANCE,2026-01-01 13:57:00,1580,1580.5,1580,1580.1,14472
RELIANCE,2026-01-01 13:58:00,1580.1,1580.1,1578.3,1578.4,14673
RELIANCE,2026-01-01 13:59:00,1578.7,1579,1578.3,1578.8,2989
RELIANCE,2026-01-01 14:00:00,1578.8,1578.8,1578,1578.4,12252
RELIANCE,2026-01-01 14:01:00,1578.5,1578.5,1578.3,1578.4,2851
RELIANCE,2026-01-01 14:02:00,1578.4,1578.7,1578.4,1578.7,890
